ip,port,country,city,datacenter,asn,organization,source_latency_ms,baidu_delay_ms,tested,cn2,cn2_evidence,trace_url,trace_status,traced_at,route_class,route_evidence
38.76.217.215,443,HK,香港,HKG,401701,cognetcloud INC,1.0,4065,True,True,"Nanjing: 59.43.139.117, 59.43.183.110; Shenzhen: 59.43.248.246",https://globalping.io?measurement=2YpR6Fb8JzhFnhef900020wI3,cn2_gt,2026-08-13T07:03:31Z,cn2_gt,"Nanjing: 59.43.139.117, 59.43.183.110; Shenzhen: 59.43.248.246"
43.168.16.112,443,HK,香港,HKG,139341,ACE,1.0,,True,True,"Nanjing: 59.43.130.214, 59.43.139.133",https://globalping.io?measurement=2gzPacZHKgwCqrP2t00020xKp,cn2_gt,2026-08-16T01:59:30Z,cn2_gt,"Nanjing: 59.43.130.214, 59.43.139.133"
45.78.37.81,443,HK,香港,HKG,25820,IT7 Networks Inc,1.0,1676,True,True,"Guangzhou: 59.43.22.33, 59.43.250.110; Nanjing: 59.43.22.6, 59.43.39.106, 59.43.46.101; Xi'an: 59.43.138.46, 59.43.156.129, 59.43.38.166",https://globalping.io?measurement=2gXS0qtobVhLHADs200020wYR,cn2_gt,2026-08-13T23:59:49Z,cn2_gt,"Guangzhou: 59.43.22.33, 59.43.250.110; Nanjing: 59.43.22.6, 59.43.39.106, 59.43.46.101; Xi'an: 59.43.138.46, 59.43.156.129, 59.43.38.166"
45.78.44.248,443,HK,香港,HKG,25820,IT7 Networks Inc,1.0,1237,True,True,Guangzhou: 59.43.16.166,https://globalping.io?measurement=2Eqhq4tLHRckxNRdN00020wn8,cn2_gt,2026-08-14T15:10:28Z,cn2_gt,Guangzhou: 59.43.16.166
50.114.59.134,443,HK,香港,HKG,149440,Evoxt Sdn. Bhd.,1.0,1870,True,True,Nanjing: 59.43.139.117,https://globalping.io?measurement=25hrLoaiMkVyceII300020wFF,cn2_gt,2026-08-13T04:09:23Z,cn2_gt,Nanjing: 59.43.139.117
64.90.24.236,443,HK,香港,HKG,979,NetLab Global,1.0,1497,True,True,"Guangzhou: 59.43.130.154; Nanjing: 59.43.39.190, 59.43.46.97; Nanjing: 59.43.132.153, 59.43.39.178",https://globalping.io?measurement=2LW64WJZw3Ho7TL9f00020w5l,cn2_gt,,cn2_gt,
82.158.230.241,443,HK,香港,HKG,401701,cognetcloud INC,1.0,1358,True,True,"Nanjing: 59.43.139.109, 59.43.248.250",https://globalping.io?measurement=2x7U9XjJoZtELZ34F00020wF6,cn2_gt,2026-08-13T04:00:43Z,cn2_gt,"Nanjing: 59.43.139.109, 59.43.248.250"
82.158.91.93,443,HK,香港,HKG,401701,cognetcloud INC,1.0,1425,True,True,"Xi'an: 59.43.183.110, 59.43.93.109",https://globalping.io?measurement=2APU5OeQbZfEQslJa00020wEn,cn2_gt,2026-08-13T03:41:18Z,cn2_gt,"Xi'an: 59.43.183.110, 59.43.93.109"
96.126.179.246,443,HK,香港,HKG,149440,Evoxt Sdn. Bhd.,1.0,1155,True,True,Nanjing: 59.43.42.33; Beijing: 59.43.145.62,https://globalping.io?measurement=2L737gWrAtSZWQwMP00020wFq,cn2_gt,2026-08-13T04:46:29Z,cn2_gt,Nanjing: 59.43.42.33; Beijing: 59.43.145.62
23.27.48.113,443,SG,新加坡,SIN,20473,"The Constant Company, LLC",1.0,3478,True,True,"Guangzhou: 59.43.130.158; Nanjing: 59.43.123.89, 59.43.130.114; Beijing: 59.43.137.222",https://globalping.io?measurement=2tt6mlkxCrnqSpPEV00020wH1,cn2_gt,2026-08-13T05:59:43Z,cn2_gt,"Guangzhou: 59.43.130.158; Nanjing: 59.43.123.89, 59.43.130.114; Beijing: 59.43.137.222"
103.108.67.74,443,HK,香港,HKG,401696,cognetcloud INC,2.0,1143,True,True,"Guangzhou: 59.43.183.110; Nanjing: 59.43.139.109, 59.43.181.94",https://globalping.io?measurement=2SCmXrHTEpvKQ9ya700020wFq,cn2_gt,2026-08-13T04:46:29Z,cn2_gt,"Guangzhou: 59.43.183.110; Nanjing: 59.43.139.109, 59.43.181.94"
